Year,Athlete,Medal,Country,Result
1928,Elizabeth Robinson,GOLD,USA,12.2
1928,Fanny Rosenfeld,SILVER,CAN,12.3
1928,Ethel Smith,BRONZE,CAN,12.3
1932,Stanislawa Walasiewicz,GOLD,POL,11.9
1932,Hilda Strike,SILVER,CAN,11.9
1932,Wilhelmina Von Bremen,BRONZE,USA,12
1936,Helen Stephens,GOLD,USA,11.5
1936,Stanislawa Walasiewicz,SILVER,POL,11.7
1936,Kathe Kraub,BRONZE,GER,11.9
1948,Fanny Blankers-Koen,GOLD,NED,11.9
1948,Dorothy Manley,SILVER,GBR,12.2
1948,Shirley Strickland,BRONZE,AUS,12.2
1952,Marjorie Jackson,GOLD,AUS,11.5
1952,Daphne Hasenjager,SILVER,SAF,11.8
1952,Shirley Strickland,BRONZE,AUS,11.9
1956,Betty Cuthbert,GOLD,AUS,11.5
1956,Christa Stubnick,SILVER,GER,11.7
1956,Marlene Mathews,BRONZE,AUS,11.7
1960,Wilma Rudolph,GOLD,USA,11
1960,Dorothy Hyman,SILVER,GBR,11.3
1960,Giuseppina Leone,BRONZE,ITA,11.3
1964,Wyomia Tyus,GOLD,USA,11.4
1964,Edith McGuire,SILVER,USA,11.6
1964,Ewa Klobukowska,BRONZE,POL,11.6
1968,Wyomia Tyus,GOLD,USA,11
1968,Barbara Ferrell,SILVER,USA,11.1
1968,Irena Szewinska,BRONZE,POL,11.1
1972,Renate Stecher,GOLD,GDR,11.07
1972,Raelene Boyle,SILVER,AUS,11.23
1972,Silvia Chivas,BRONZE,CUB,11.24
1976,Annegret Richter,GOLD,FRG,11.08
1976,Renate Stecher,SILVER,GDR,11.13
1976,Inge Helten,BRONZE,FRG,11.17
1980,Lyudmila Kondratyeva,GOLD,URS,11.06
1980,Marlies Gohr-Oelsner,SILVER,GDR,11.07
1980,Ingrid Lange-Auerswald,BRONZE,GDR,11.14
1984,Evelyn Ashford,GOLD,USA,10.97
1984,Alice Brown,SILVER,USA,11.13
1984,Merlene Ottey-Page,BRONZE,JAM,11.16
1988,Florence Griffith-Joyner,GOLD,USA,10.54
1988,Evelyn Ashford,SILVER,USA,10.83
1988,Heike Drechsler,BRONZE,GDR,10.85
1992,Gail Devers,GOLD,USA,10.82
1992,Juliet Cuthbert,SILVER,JAM,10.83
1992,Irina Privalova,BRONZE,URS,10.84
1996,Gail Devers,GOLD,USA,10.94
1996,Merlene Ottey-Page,SILVER,JAM,10.94
1996,Gwen Torrence,BRONZE,USA,10.96
2000,Ekaterini Thanou,GOLD,GRE,11.12
2000,Tanya Lawrence,SILVER,JAM,11.18
2000,Merlene Ottey-Page,BRONZE,JAM,11.19
2004,Yuliya Nesterenko,GOLD,BLR,10.93
2004,Lauryn Williams,SILVER,USA,10.96
2004,Veronica Campbell-Brown,BRONZE,JAM,10.97
2008,Shelly-Ann Fraser-Pryce,GOLD,JAM,10.78
2008,Sherone Simpson,SILVER,JAM,10.98
2008,Kerron Stewart,SILVER,JAM,10.98
2012,Shelly-Ann Fraser-Pryce,GOLD,JAM,10.75
2012,Carmelita Jeter,SILVER,USA,10.78
2012,Veronica Campbell-Brown,BRONZE,JAM,10.81
