MLVA,date,COUNT(*)
3-11-10-8-523,1/1/08,1
3-12-10-12-523,1/1/09,1
3-9-7-13-523,1/1/09,1
3-14-8-13-523,1/1/10,1
3-9-8-13-523,1/1/10,1
4-16-15-11-490,1/1/10,1
3-12-8-12-523,1/1/11,1
3-9-7-13-523,1/1/11,3
3-23-13-10-523,1/1/12,1
3-9-7-15-523,1/1/12,1
3-12-17-9-523,1/1/13,1
3-13-10-11-523,1/1/13,1
3-23-13-11-523,1/1/13,1
3-9-8-9-523,1/1/13,1
4-13-9-0-517,1/1/14,1
4-16-11-0-517,1/1/14,1
3-17-9-11-523,1/1/15,1
3-9-7-11-523,1/1/16,1
3-9-7-12-523,1/1/16,1
3-10-7-12-523,1/10/08,1
3-12-9-12-523,1/10/08,1
3-15-11-9-523,1/10/08,1
3-9-8-9-523,1/10/08,1
3-10-14-11-496,1/10/09,1
3-11-12-14-523,1/10/09,1
3-12-9-10-550,1/10/09,1
3-9-7-13-523,1/10/09,3
3-10-15-12-496,1/10/10,2
4-14-11-0-490,1/10/10,1
3-10-16-12-496,1/10/11,1
3-10-8-9-523,1/10/11,7
3-9-7-13-523,1/10/11,2
4-14-10-0-490,1/10/11,1
3-10-8-9-523,1/10/12,1
3-12-16-13-523,1/10/12,1
3-9-7-12-523,1/10/12,1
3-9-7-13-523,1/10/12,1
3-9-8-12-523,1/10/12,1
3-9-8-13-523,1/10/12,1
5-15-13-13-490,1/10/12,1
3-10-14-12-496,1/10/13,2
3-11-7-11-523,1/10/13,1
3-12-15-13-523,1/10/13,1
3-12-16-12-523,1/10/13,1
3-13-21-11-523,1/10/13,1
3-16-9-12-523,1/10/13,2
3-17-9-12-523,1/10/13,1
3-9-7-16-523,1/10/13,1
3-9-8-13-523,1/10/13,1
3-9-8-9-523,1/10/13,1
4-15-11-0-490,1/10/13,1
3-11-9-9-523,1/10/14,1
3-12-12-9-523,1/10/14,1
3-12-7-11-523,1/10/14,1
3-13-10-11-523,1/10/14,1
3-16-9-11-523,1/10/14,1
3-17-10-11-523,1/10/14,2
3-17-11-10-523,1/10/14,1
3-17-9-11-523,1/10/14,1
3-9-9-12-523,1/10/14,1
3-9-9-13-523,1/10/14,1
3-10-14-11-496,1/10/15,1
3-12-13-9-523,1/10/15,1
3-24-13-10-523,1/10/15,1
3-23-13-10-523,1/10/16,1
3-26-13-8-523,1/10/16,1
3-12-11-15-523,1/11/08,1
3-10-8-9-523,1/11/09,1
3-11-10-8-523,1/11/09,1
3-12-9-10-550,1/11/09,1
3-9-7-13-523,1/11/09,2
3-9-8-12-523,1/11/09,1
3-10-7-14-523,1/11/10,1
3-13-10-11-550,1/11/10,1
3-14-12-10-523,1/11/10,1
3-14-8-12-523,1/11/10,1
3-17-15-14-523,1/11/10,1
3-21-13-13-523,1/11/10,1
3-9-7-13-523,1/11/10,2
5-15-16-13-490,1/11/10,1
2-16-0-0-469,1/11/11,1
3-10-15-12-496,1/11/11,1
3-10-16-12-496,1/11/11,1
3-10-8-10-523,1/11/11,1
3-10-8-9-523,1/11/11,13
3-12-15-13-523,1/11/11,1
3-12-19-9-523,1/11/11,1
3-9-7-13-523,1/11/11,4
3-9-7-15-523,1/11/11,1
4-13-12-0-490,1/11/11,1
5-13-10-10-490,1/11/11,1
3-11-11-14-523,1/11/12,1
3-12-9-12-523,1/11/12,1
3-22-13-11-523,1/11/12,1
3-9-9-12-523,1/11/12,2
3-9-9-14-523,1/11/12,1
3-10-14-12-496,1/11/13,3
3-12-16-13-523,1/11/13,1
3-12-9-12-523,1/11/13,1
3-16-9-12-523,1/11/13,2
3-17-9-12-523,1/11/13,3
3-9-8-13-523,1/11/13,1
3-9-8-9-523,1/11/13,1
4-15-11-0-490,1/11/13,1
3-10-7-13-523,1/11/14,1
3-10-7-9-523,1/11/14,1
3-12-12-9-523,1/11/14,1
3-12-7-11-523,1/11/14,1
3-17-8-11-523,1/11/14,1
3-17-9-11-523,1/11/14,1
3-18-9-11-523,1/11/14,1
3-24-13-10-523,1/11/14,1
3-9-7-12-523,1/11/14,2
3-9-9-14-523,1/11/14,1
5-16-0-0-490,1/11/14,1
3-12-11-14-523,1/11/15,1
3-12-13-9-523,1/11/15,1
3-12-14-10-523,1/11/15,1
3-16-12-10-523,1/11/15,1
3-17-9-11-523,1/11/15,1
3-30-9-11-523,1/11/15,1
5-14-14-11-490,1/11/15,1
5-15-10-11-490,1/11/15,1
6-11-18-10-490,1/11/15,1
2-8-12-0-490,1/11/16,1
3-10-13-11-496,1/11/16,1
3-10-15-11-496,1/11/16,1
3-12-13-9-523,1/11/16,1
3-26-13-8-523,1/11/16,3
3-10-14-11-496,1/12/09,2
3-10-15-11-496,1/12/09,1
3-11-10-8-523,1/12/09,1
3-9-7-12-523,1/12/09,1
5-17-13-10-490,1/12/09,1
3-10-15-12-496,1/12/10,1
3-10-17-12-523,1/12/10,1
3-10-7-15-523,1/12/10,1
3-10-8-14-523,1/12/10,1
3-11-9-11-550,1/12/10,1
3-12-10-11-550,1/12/10,2
3-15-10-11-523,1/12/10,1
3-16-16-14-523,1/12/10,1
3-22-14-11-523,1/12/10,1
3-9-7-13-523,1/12/10,1
3-9-7-15-523,1/12/10,1
5-16-13-11-490,1/12/10,1
2-16-0-0-490,1/12/11,1
3-10-16-12-496,1/12/11,1
3-10-8-9-523,1/12/11,5
3-12-15-7-523,1/12/11,1
3-14-12-12-523,1/12/11,1
3-9-7-13-523,1/12/11,3
3-9-7-15-523,1/12/11,4
3-9-8-13-523,1/12/11,2
4-14-11-0-463,1/12/11,1
5-15-13-12-490,1/12/11,1
3-16-17-14-523,1/12/12,1
3-20-13-12-523,1/12/12,1
3-9-7-12-523,1/12/12,3
3-9-9-12-523,1/12/12,1
3-9-9-14-523,1/12/12,1
4-14-12-0-490,1/12/12,1
3-10-14-12-496,1/12/13,1
3-14-8-12-523,1/12/13,1
3-9-7-13-523,1/12/13,1
3-9-8-13-523,1/12/13,1
4-11-12-0-517,1/12/13,1
3-10-7-13-523,1/12/14,1
3-9-4-12-523,1/12/14,1
3-10-12-11-496,1/12/15,1
3-10-14-11-496,1/12/15,1
3-10-8-12-523,1/12/15,1
3-12-11-14-523,1/12/15,3
3-12-12-9-523,1/12/15,1
3-12-13-9-523,1/12/15,1
3-13-9-12-523,1/12/15,1
3-17-17-11-523,1/12/15,1
3-20-14-12-523,1/12/15,1
3-24-14-10-523,1/12/15,1
3-25-13-10-523,1/12/15,2
3-27-14-10-523,1/12/15,1
3-30-14-10-523,1/12/15,1
3-9-8-11-523,1/12/15,1
3-9-8-12-523,1/12/15,2
3-9-8-13-523,1/12/15,1
5-21-8-12-457,1/12/15,1
3-12-12-9-523,1/12/16,1
3-14-10-13-523,1/12/16,1
3-12-9-10-550,1/13/09,2
3-13-11-10-523,1/13/09,1
3-9-9-12-523,1/13/09,1
5-13-12-9-490,1/13/09,1
3-10-15-12-496,1/13/10,1
3-10-8-12-523,1/13/10,1
3-14-8-12-523,1/13/10,1
3-9-7-13-523,1/13/10,2
3-9-7-14-523,1/13/10,1
3-9-8-10-523,1/13/10,1
4-13-10-0-490,1/13/10,1
5-15-16-13-490,1/13/10,1
3-10-8-9-523,1/13/11,1
3-12-12-9-523,1/13/11,1
3-9-7-13-523,1/13/11,1
3-9-7-15-523,1/13/11,1
3-9-8-13-523,1/13/11,1
4-15-10-0-490,1/13/11,1
6-16-20-10-523,1/13/11,1
3-10-8-9-523,1/13/12,1
3-11-13-12-496,1/13/12,1
3-9-7-12-523,1/13/12,2
3-9-8-14-523,1/13/12,1
3-9-9-12-523,1/13/12,2
4-14-11-0-490,1/13/12,1
3-14-8-13-523,1/13/13,1
3-15-11-0-490,1/13/13,1
3-17-9-12-523,1/13/13,2
3-9-7-15-523,1/13/13,1
3-9-8-13-523,1/13/13,1
3-9-8-9-523,1/13/13,1
4-16-12-0-517,1/13/13,1
3-10-14-10-496,1/13/14,1
3-12-12-9-523,1/13/14,1
3-12-13-9-523,1/13/14,1
3-17-9-11-523,1/13/14,2
3-18-9-11-523,1/13/14,2
3-24-13-10-523,1/13/14,1
3-9-7-14-523,1/13/14,2
3-9-9-13-523,1/13/14,1
4-14-11-0-490,1/13/14,1
5-15-16-12-490,1/13/14,1
3-10-7-13-523,1/13/15,1
3-12-11-14-523,1/13/15,3
3-12-13-9-523,1/13/15,1
3-12-17-14-523,1/13/15,1
3-13-10-11-523,1/13/15,1
3-14-10-8-523,1/13/15,1
3-16-11-10-523,1/13/15,1
3-24-11-10-523,1/13/15,1
3-24-14-11-523,1/13/15,1
3-9-8-11-523,1/13/15,1
5-13-11-9-490,1/13/15,2
3-10-15-11-496,1/13/16,3
3-12-12-11-523,1/13/16,1
3-12-12-9-523,1/13/16,1
3-17-9-11-523,1/13/16,2
3-17-9-12-523,1/13/16,1
3-24-11-8-523,1/13/16,1
4-11-12-0-490,1/13/16,1
5-14-14-11-490,1/13/16,1
3-17-16-13-523,1/14/08,1
3-9-8-12-523,1/14/08,1
4-16-10-0-517,1/14/08,1
6-11-16-13-490,1/14/08,1
3-12-11-10-523,1/14/09,1
3-12-9-10-550,1/14/09,1
3-9-7-13-523,1/14/09,1
3-9-8-12-523,1/14/09,1
3-10-14-12-496,1/14/10,1
3-14-8-12-523,1/14/10,1
3-21-13-13-523,1/14/10,1
3-9-7-13-523,1/14/10,1
3-9-7-14-523,1/14/10,1
4-16-11-0-490,1/14/10,1
6-15-14-13-490,1/14/10,1
3-12-12-9-523,1/14/11,2
3-12-15-13-523,1/14/11,1
3-12-15-7-523,1/14/11,2
3-9-7-12-523,1/14/11,1
3-9-7-13-523,1/14/11,4
3-9-7-15-523,1/14/11,3
3-9-8-14-523,1/14/11,1
4-16-10-0-517,1/14/11,1
5-13-7-9-490,1/14/11,2
3-10-8-9-523,1/14/12,2
3-9-8-13-523,1/14/12,3
3-9-9-12-523,1/14/12,1
3-11-7-13-523,1/14/13,1
3-11-8-8-523,1/14/13,1
3-12-11-8-523,1/14/13,1
3-9-8-13-523,1/14/13,2
3-9-8-9-523,1/14/13,2
3-10-7-12-523,1/14/14,2
3-10-7-13-523,1/14/14,1
3-12-12-9-523,1/14/14,1
3-16-9-11-523,1/14/14,2
3-17-9-11-523,1/14/14,2
3-18-9-11-523,1/14/14,1
4-14-11-0-490,1/14/14,1
5-10-12-10-490,1/14/14,1
3-10-8-11-523,1/14/15,1
3-12-11-14-523,1/14/15,2
3-16-10-11-523,1/14/15,1
3-17-11-11-523,1/14/15,1
3-17-9-11-523,1/14/15,1
3-18-10-12-523,1/14/15,1
3-25-13-10-523,1/14/15,1
3-9-0-11-523,1/14/15,1
3-9-8-11-523,1/14/15,1
4-14-9-0-517,1/14/15,1
3-11-12-9-523,1/14/16,1
3-11-9-11-523,1/14/16,1
3-12-12-9-523,1/14/16,4
3-9-12-11-496,1/14/16,1
5-13-10-10-490,1/14/16,1
3-12-13-12-523,1/15/08,1
3-13-11-12-523,1/15/08,1
3-20-13-13-523,1/15/08,1
4-16-10-0-517,1/15/08,2
6-11-16-13-490,1/15/08,1
3-12-9-10-550,1/15/09,5
3-13-11-12-523,1/15/09,1
3-9-10-12-523,1/15/09,1
3-9-6-13-523,1/15/09,1
3-9-7-13-523,1/15/09,1
3-10-14-12-496,1/15/10,1
3-11-14-383-496,1/15/10,1
3-24-14-12-523,1/15/10,1
3-27-10-11-523,1/15/10,1
3-9-15-12-496,1/15/10,1
4-15-11-0-490,1/15/10,1
3-10-8-9-523,1/15/11,1
3-12-15-7-523,1/15/11,1
3-9-7-12-523,1/15/11,2
3-9-7-13-523,1/15/11,2
3-9-7-15-523,1/15/11,2
4-16-10-0-517,1/15/11,1
3-10-14-12-496,1/15/12,2
3-10-8-9-523,1/15/12,2
3-14-11-12-523,1/15/12,1
3-9-8-13-523,1/15/12,1
3-9-9-12-523,1/15/12,2
